,date,title,summary
3555,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
3556,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
3557,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
3558,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
3559,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
3560,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
3561,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
3562,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
3563,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
3564,2021.08.10.,`성폭력` 쿠오모 도왔던 여성인권운동가 동반 추락,컬럼비아대 로스쿨 부교수인 그는 2019년 도널드 트럼프 전 대통령으로부터 과거 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E. 진 캐럴의 변호인으로 활약하기도 했다. 이런 가운데 쿠오모 주지사의 탄핵을...
3565,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
3566,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
3567,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
3568,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
3569,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
3570,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
3571,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
3572,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
3573,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
3574,2021.08.10.,`성폭력` 쿠오모 도왔던 여성인권운동가 동반 추락,컬럼비아대 로스쿨 부교수인 그는 2019년 도널드 트럼프 전 대통령으로부터 과거 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E. 진 캐럴의 변호인으로 활약하기도 했다. 이런 가운데 쿠오모 주지사의 탄핵을...
3575,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
3576,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
3577,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
3578,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
3579,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
3580,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
3581,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
3582,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
3583,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
3584,2021.08.10.,`성폭력` 쿠오모 도왔던 여성인권운동가 동반 추락,컬럼비아대 로스쿨 부교수인 그는 2019년 도널드 트럼프 전 대통령으로부터 과거 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E. 진 캐럴의 변호인으로 활약하기도 했다. 이런 가운데 쿠오모 주지사의 탄핵을...
3585,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
3586,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
3587,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
3588,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
3589,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
3590,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
3591,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
3592,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
3593,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
3594,2021.08.10.,`성폭력` 쿠오모 도왔던 여성인권운동가 동반 추락,컬럼비아대 로스쿨 부교수인 그는 2019년 도널드 트럼프 전 대통령으로부터 과거 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E. 진 캐럴의 변호인으로 활약하기도 했다. 이런 가운데 쿠오모 주지사의 탄핵을...
3595,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
3596,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
3597,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
3598,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
3599,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
3600,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
3601,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
3602,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
3603,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
3604,2021.08.10.,`성폭력` 쿠오모 도왔던 여성인권운동가 동반 추락,컬럼비아대 로스쿨 부교수인 그는 2019년 도널드 트럼프 전 대통령으로부터 과거 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E. 진 캐럴의 변호인으로 활약하기도 했다. 이런 가운데 쿠오모 주지사의 탄핵을...
3605,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
3606,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
3607,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
3608,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
3609,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
3610,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
3611,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
3612,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
3613,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
3614,2021.08.10.,`성폭력` 쿠오모 도왔던 여성인권운동가 동반 추락,컬럼비아대 로스쿨 부교수인 그는 2019년 도널드 트럼프 전 대통령으로부터 과거 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E. 진 캐럴의 변호인으로 활약하기도 했다. 이런 가운데 쿠오모 주지사의 탄핵을...
3615,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
3616,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
3617,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
3618,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
3619,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
3620,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
3621,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
3622,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
3623,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
3624,2021.08.10.,`성폭력` 쿠오모 도왔던 여성인권운동가 동반 추락,컬럼비아대 로스쿨 부교수인 그는 2019년 도널드 트럼프 전 대통령으로부터 과거 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E. 진 캐럴의 변호인으로 활약하기도 했다. 이런 가운데 쿠오모 주지사의 탄핵을...
3625,2021.08.10.,[한반의반도] 돼지국밥의 뒷맛 그리고 평등버스,"이들에 앞서, 미국의 전 대통령 트럼프야말로 얼굴로부터 흐르는 정치적 효능을 간파했던 노회한 정치인이었다. 트럼프에게는 인터뷰 방송 녹화를 마치고 스튜디오에 앉아 음소거를 한 채로 재생된 내용을 시청하는..."
3626,2021.08.10.,"尹캠프, 정책자문단 42명 발표…文정부 '북핵 대표' 이도훈 합류","이 전 본부장은 현 정부가 추진한 한반도 평화 프로세스 과정에서 핵심 역할을 맡았던 인물로, 지난해 12월까지 도널드 트럼프 전 행정부 내 스티븐 비건 전 국무부 대북특별대표와 대북 협상을 논의하기도 했다. 그러나..."
3627,2021.08.10.,쿠오모 도운 할리우드 ‘미투 단체’ 대표의 위선,도널드 트럼프 전 대통령에게 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E 진 캐럴을... 트럼프 전 대통령의 성추문이나 경쟁사인 폭스뉴스 경영진의 성추행 사건 때와 완전히 달라진 태도에 ‘CNN의 이중...
3628,2021.08.10.,[데스크의눈] 한국 정치 품격을 높이자,"버락 오바마에 이어 도널드 트럼프 대통령이 집권하면서 미국 당파 갈등은 정점으로 치달았다. 재선에 실패한 트럼프는 승복을 거부했고, 지지자들이 의회의사당에 난립하는 충격적인 사태도 벌어졌다. 조 바이든..."
3629,2021.08.11.,[글로벌포커스] 경제·안보 통합전략이 필요하다,"그럴듯하게 들리지만 30여 년을 통상외교 현장에서 보낸 필자가 아는 한, 도널드 트럼프 행정부 이전 미국이 안보를 인질로 통상 분야에서 지나친 요구나 압력을 행사한 적은 없다. 내심 그런 기대를 했는지는 몰라도..."
3630,2021.08.10.,[글로벌 아이] 마오는 왜 부활했나,트럼프 정부 때 전면적 무역전쟁으로 심화된 상황은 바이든 정부 들어서도 완화될 조짐이 보이지 않는다. 오히려 전체주의 위협의 증가로 간주해 동맹국을 설득하고 있다. 지난달 28일 친강(秦剛) 중국 외교부 부부장(차관)...
3631,2021.08.10.,"[광화문 포럼] 한국, 美의 반도체·배터리 공급망에 올라타라",공급망은 코로나 팬데믹과 미·중 경쟁이 심화되면서 트럼프 행정부 들어 워싱턴 정책 커뮤니티에서 급부상한 이슈이다. 바이든 대통령 역시 임기 초기부터 행정명령 등을 통해 공급망을 주요 정책 이슈로 다룬다. 이는...
3632,2021.08.10.,이재용 ‘탄탄한 글로벌 네트워크’…가석방 한계 돌파 ‘초격차’ 경영 시동,"이 부회장은 집행유예를 받고 풀려난 2018년 2월부터 지난해까지 조지 W 부시·도널드 트럼프 전 미국 대통령, 무함마드 빈 자이드 알나하얀 아랍에미리트(UAE) 왕세제, 나렌드라 모디 인도 총리, 응우옌쑤언푹 베트남 총리..."
3633,2021.08.10.,<시평>‘비핵화 사기극 2.0’ 시작됐다,"받들고 트럼프 속아 강력 제재가 비핵화 유일 수단 지난 7월 27일, 남북이 끊겨 있던 통신연락선 복원에... 도널드 트럼프 전 대통령은 눈뜨고 사기당한 경우다. 2018년 6월 싱가포르 리얼리티쇼 정상회담에서 트럼프..."
3634,2021.08.10.,`성폭력` 쿠오모 도왔던 여성인권운동가 동반 추락,컬럼비아대 로스쿨 부교수인 그는 2019년 도널드 트럼프 전 대통령으로부터 과거 성폭행당했다고 폭로해 명예훼손 소송을 당한 칼럼니스트 E. 진 캐럴의 변호인으로 활약하기도 했다. 이런 가운데 쿠오모 주지사의 탄핵을...
